"Name","Sweep","Tags","ctsne.beta","fastctsne.alpha","method","fastctsne.fixed_perp","dataset","adjusted_RNX","jaccard_similarity_mean","jaccard_similarity_median","laplacian_celltype_mean","laplacian_mean","laplacian_median","runtime"
"fearless-sweep-12","pbzxjy2l","fastctsne, pancreas","","1e-30","fastctsne","","pancreas","0.2426987787195468","0.15044345871465117","0.12359550561797752","0.04932413793103449","0.3340137931034483","0.22","22.401931762695312"
"polar-sweep-16","uc90bzmy","fastctsne, pancreas","","1e-30","fastctsne","true","pancreas","0.25939463140938546","0.16197081179598405","0.13636363636363635","0.0591448275862069","0.3001655172413793","0.18","43.92283892631531"
"lilac-sweep-11","pbzxjy2l","fastctsne, pancreas","","1e-20","fastctsne","","pancreas","0.24604334371718817","0.1526490432832476","0.12359550561797752","0.05382068965517242","0.32797241379310343","0.2","22.46047425270081"
"ancient-sweep-15","uc90bzmy","fastctsne, pancreas","","1e-20","fastctsne","true","pancreas","0.26071627402942116","0.16317769257129724","0.13636363636363635","0.05906206896551725","0.3022068965517241","0.18","46.31756782531738"
"upbeat-sweep-14","uc90bzmy","fastctsne, pancreas","","1e-10","fastctsne","true","pancreas","0.28013632885443546","0.1776591923338027","0.14942528735632185","0.05467586206896552","0.28750344827586205","0.16","48.22670888900757"
"worthy-sweep-10","pbzxjy2l","fastctsne, pancreas","","1e-10","fastctsne","","pancreas","0.26052746794084464","0.16427196128408356","0.12359550561797752","0.053324137931034486","0.3144551724137931","0.2","23.926855087280273"
"classic-sweep-13","uc90bzmy","fastctsne, pancreas","","1e-9","fastctsne","true","pancreas","0.282833558691243","0.1806738045435735","0.14942528735632185","0.054262068965517246","0.28063448275862074","0.14","49.504053831100464"
"electric-sweep-9","pbzxjy2l","fastctsne, pancreas","","1e-9","fastctsne","","pancreas","0.2609320524163658","0.1651740787975855","0.12359550561797752","0.05326896551724138","0.3114758620689655","0.18","22.02192974090576"
"unique-sweep-12","uc90bzmy","fastctsne, pancreas","","1e-8","fastctsne","true","pancreas","0.2879852676795454","0.18399469140860752","0.14942528735632185","0.061434482758620686","0.28033103448275865","0.14","48.05300784111023"
"proud-sweep-8","pbzxjy2l","fastctsne, pancreas","","1e-8","fastctsne","","pancreas","0.2651936755585217","0.1676715074840594","0.13636363636363635","0.052000000000000005","0.3096551724137931","0.18","21.75678062438965"
"vivid-sweep-11","uc90bzmy","fastctsne, pancreas","","1e-7","fastctsne","true","pancreas","0.29200414013638865","0.18678491481851903","0.14942528735632185","0.058372413793103456","0.2784551724137931","0.14","45.022422313690186"
"playful-sweep-7","pbzxjy2l","fastctsne, pancreas","","1e-7","fastctsne","","pancreas","0.26163333217393575","0.16514351721128914","0.12359550561797752","0.05048275862068965","0.3083862068965517","0.18","25.034789323806763"
"avid-sweep-6","pbzxjy2l","fastctsne, pancreas","","0.000001","fastctsne","","pancreas","0.2644114789058475","0.16657322358512217","0.13636363636363635","0.050206896551724146","0.30245517241379305","0.18","24.425445079803467"
"fancy-sweep-10","uc90bzmy","fastctsne, pancreas","","0.000001","fastctsne","true","pancreas","0.29896299311535207","0.19138479427484337","0.16279069767441862","0.05693793103448276","0.2758896551724138","0.14","52.11483073234558"
"vivid-sweep-5","pbzxjy2l","fastctsne, pancreas","","0.00001","fastctsne","","pancreas","0.27072299672397715","0.1715344310157116","0.13636363636363635","0.05073103448275862","0.3001655172413793","0.18","25.69113516807556"
"trim-sweep-9","uc90bzmy","fastctsne, pancreas","","0.00001","fastctsne","true","pancreas","0.30975191246258227","0.1996071361139248","0.16279069767441862","0.05252413793103448","0.27001379310344825","0.14","49.71452283859253"
"glowing-sweep-8","uc90bzmy","fastctsne, pancreas","","0.0001","fastctsne","true","pancreas","0.3314106680521468","0.21379379583182792","0.1904761904761905","0.05059310344827587","0.26681379310344827","0.12","54.168710231781006"
"pretty-sweep-4","pbzxjy2l","fastctsne, pancreas","","0.0001","fastctsne","","pancreas","0.2962118186818084","0.18910500249514137","0.16279069767441862","0.049931034482758624","0.2945379310344827","0.18","29.5177218914032"
"dandy-sweep-3","pbzxjy2l","fastctsne, pancreas","","0.001","fastctsne","","pancreas","0.3430627009471554","0.2222548726423563","0.1904761904761905","0.045627586206896546","0.25955862068965513","0.14","37.94716286659241"
"laced-sweep-7","uc90bzmy","fastctsne, pancreas","","0.001","fastctsne","true","pancreas","0.3535818973107048","0.2296518856850498","0.20481927710843373","0.04035862068965518","0.2506758620689655","0.08","56.513572216033936"
"eternal-sweep-6","uc90bzmy","fastctsne, pancreas","","0.01","fastctsne","true","pancreas","0.3788009962848553","0.25048301622288804","0.2195121951219512","0.03685517241379311","0.22044137931034485","0.02","67.46887111663818"
"daily-sweep-2","pbzxjy2l","fastctsne, pancreas","","0.01","fastctsne","","pancreas","0.3869196580936461","0.2566931677816029","0.2345679012345679","0.0408","0.19969655172413792","0","52.50863814353943"
"twilight-sweep-1","pbzxjy2l","fastctsne, pancreas","","0.1","fastctsne","","pancreas","0.418045690410405","0.285061320710286","0.25","0.03688275862068966","0.1254896551724138","0","48.85945391654968"
"magic-sweep-5","uc90bzmy","fastctsne, pancreas","","0.1","fastctsne","true","pancreas","0.4106822529559204","0.27785270956401076","0.25","0.03624827586206897","0.15020689655172412","0","63.9414439201355"
"feasible-sweep-4","uc90bzmy","fastctsne, pancreas","","0.2","fastctsne","true","pancreas","0.42147117230315057","0.2882566286742432","0.26582278481012656","0.03660689655172414","0.11660689655172414","0","63.596309423446655"
"classic-sweep-3","uc90bzmy","fastctsne, pancreas","","0.4","fastctsne","true","pancreas","0.4319094517715958","0.2981070101636144","0.26582278481012656","0.036358620689655174","0.08427586206896552","0","65.24463367462158"
"sweet-sweep-2","uc90bzmy","fastctsne, pancreas","","0.6","fastctsne","true","pancreas","0.43938077841955264","0.30513493461419594","0.26582278481012656","0.03566896551724138","0.07095172413793104","0","68.11937022209167"
"faithful-sweep-1","uc90bzmy","fastctsne, pancreas","","0.8","fastctsne","true","pancreas","0.4439121245453893","0.3098031194494551","0.26582278481012656","0.03630344827586207","0.05768275862068967","0","68.37541079521179"
"generous-sweep-17","gdesw95o","ctsne, pancreas","1e-30","","ctsne","","pancreas","0.3013365553717427","0.1953558727679089","0.16279069767441862","0.0833103448275862","0.3791724137931034","0.44","158.31883025169373"
"sparkling-sweep-7","gdesw95o","ctsne, pancreas","0.01","","ctsne","","pancreas","0.30392589601507797","0.1970660486285956","0.16279069767441862","0.08449655172413793","0.3724413793103449","0.42","160.5977234840393"
"eager-sweep-4","gdesw95o","ctsne, pancreas","0.4","","ctsne","","pancreas","0.41591487883932704","0.2838712616656784","0.25","0.03939310344827587","0.11964137931034484","0","165.6721773147583"
"rural-sweep-15","gdesw95o","ctsne, pancreas","1e-10","","ctsne","","pancreas","0.3015793060570554","0.19586360134388212","0.16279069767441862","0.08190344827586209","0.3788413793103448","0.44","156.00622940063477"
"misunderstood-sweep-3","gdesw95o","ctsne, pancreas","0.6","","ctsne","","pancreas","0.4269195765735018","0.2947740463187098","0.26582278481012656","0.04038620689655172","0.08308965517241379","0","158.78506755828855"
"wobbly-sweep-10","gdesw95o","ctsne, pancreas","0.00001","","ctsne","","pancreas","0.29952941138108163","0.1941603518209704","0.16279069767441862","0.08353103448275863","0.3775172413793103","0.44","159.86920022964478"
"unique-sweep-1","gdesw95o","ctsne, pancreas","1","","ctsne","","pancreas","0.442374703538409","0.309280538937974","0.26582278481012656","0.03906206896551724","0.04513103448275862","0","171.31818222999573"
"classic-sweep-5","gdesw95o","ctsne, pancreas","0.2","","ctsne","","pancreas","0.3721388385879407","0.24802566751451308","0.2195121951219512","0.04962758620689656","0.22264827586206895","0.06","156.67895436286926"
"vital-sweep-11","gdesw95o","ctsne, pancreas","0.000001","","ctsne","","pancreas","0.3004734418239643","0.19490601533344648","0.16279069767441862","0.08187586206896552","0.3755034482758621","0.44","157.99155521392822"
"dulcet-sweep-2","gdesw95o","ctsne, pancreas","0.8","","ctsne","","pancreas","0.4391919723309762","0.30497506606028285","0.26582278481012656","0.038731034482758615","0.05726896551724139","0","161.8719401359558"
"warm-sweep-12","gdesw95o","ctsne, pancreas","1e-7","","ctsne","","pancreas","0.3026851702901465","0.1966909002083707","0.16279069767441862","0.08176551724137932","0.37798620689655177","0.44","159.76759147644043"
"northern-sweep-13","gdesw95o","ctsne, pancreas","1e-8","","ctsne","","pancreas","0.3023615027097296","0.1965038500173286","0.17647058823529413","0.08217931034482759","0.3747862068965517","0.42","158.49979496002197"
"dutiful-sweep-6","gdesw95o","ctsne, pancreas","0.1","","ctsne","","pancreas","0.34540929090517797","0.22840839021564388","0.1904761904761905","0.05539310344827587","0.2945103448275862","0.22","156.63268733024597"
"astral-sweep-8","gdesw95o","ctsne, pancreas","0.001","","ctsne","","pancreas","0.301066832388062","0.19525685406675128","0.16279069767441862","0.08328275862068966","0.37508965517241377","0.44","160.31494569778442"
"fluent-sweep-16","gdesw95o","ctsne, pancreas","1e-20","","ctsne","","pancreas","0.3015793060570554","0.19594879190061357","0.16279069767441862","0.08082758620689655","0.37500689655172414","0.44","158.33740997314453"
"autumn-sweep-9","gdesw95o","ctsne, pancreas","0.0001","","ctsne","","pancreas","0.3005004141223324","0.19502170631601695","0.16279069767441862","0.08286896551724138","0.3827034482758621","0.44","158.91388463974"
"olive-sweep-14","gdesw95o","ctsne, pancreas","1e-9","","ctsne","","pancreas","0.3034403946444526","0.19747466148625584","0.17647058823529413","0.08091034482758622","0.3778758620689656","0.44","157.59676456451416"